,CD209+ moDC,CD83+ CLEC9A+ DC,CD83- CLEC9A+ DC,CLEC10A+ DC,IL7R+ Activated DC,Mast Cell,Memory B cell,Monocyte Inflammatory,Proliferating myeloid,Resident Macrophage,CD4 SELL naive,CD4 TRM,CD4 Tfh,CD4 Th17,CD4 Tph,CD4 Treg,CD8 Effector,CD8 IEL,CD8 SELL Naive,ILC3,MAIT,NK,Proliferating T cells,gd T cell 1,gd T cell 2,GC-like B cell,Memory B cell,Naive B cell,Plasma Cell,Plasmablast,Arterial Pericyte,Blood Endothelial Cell,Fibroblast,Glial Cell,Inflammatory Fibroblast,Myofibroblast,Pericyte,Post-capillary venules,Proliferating Stromal Cell,Smooth Muscle Cell,Enterocyte,Enteroendocrine Cell,Epithelial M Cell,Epithelial Progenitor Cell,Epithelial Stem Cell,Goblet Cell,Tuft Cell,rho_Spearman,rho_Pearson
CID005226-1,0.05907061393493602,1.547833695537317e-05,5.209589341038769e-05,0.00037105284848608616,0.004634461974059258,4.5650674043896394e-05,0.04353754996387918,0.0006461210037908797,0.037127923207124346,0.00539869204947326,0.05696454526438747,0.007218279471962667,0.003378954635451358,8.42484490520641e-05,0.002764699898385957,0.05886860749423882,0.0005434754964008254,0.022693785594311348,0.05054372505707393,0.011937774101777647,0.026037554816388014,1.1266852611330356e-06,0.05753508432911001,0.006851051184045512,8.323372628296413e-05,0.0040942739394521695,0.05152819260547565,0.00027226284424743667,0.055712744539235484,0.05905300023632994,0.00614481608280355,0.004860895127297495,0.013144920832730101,0.013148565178762932,0.005748233222327099,0.006156873893331479,1.2341206744557352e-05,9.395144691942292e-05,0.03891356746165333,0.00028116657824967493,0.05377271373526432,0.012270533818924028,0.057344158846229856,0.05915764155468695,0.059413410050702005,0.00013922372801360934,0.04233072698033057,0.6664592545370698,0.39621185211797116
CID005227-1,0.01903976825535233,0.05059277532503909,0.05439855422801565,1.7663353233214387e-05,5.9208264862897124e-05,0.009911270934758756,0.024112535799029285,0.039586977312060324,0.0014516290230383597,9.538442380122605e-06,0.05251974191514269,0.008304300230528567,0.0034733352499806344,0.014123005558734242,0.00025487377886262074,0.055352229156168685,0.0005073503035301502,0.03454761990369484,0.055471239802452756,0.021693215535792964,0.001718124150797138,0.00032929782303720446,0.012149059083211865,0.0186053485894441,0.00029174335772522945,3.1486661400439106e-05,0.04260584268081869,7.733597538812668e-05,0.05062240715863714,0.03168623087812535,0.0025369558073505454,0.024042482736110763,0.01473481220937595,0.01682842754017131,0.0020505600629719097,0.0013581842182491901,0.000609355515056467,0.002798170910128024,0.02965750498856744,0.000386087736007839,0.055357980415255116,0.049155095953582535,0.03423691236831302,0.05545079649700366,0.05542609459193409,0.01034582730870252,0.041481042409976035,0.6443482051476441,0.36214114222952853
CID005798-1,0.03573934822053219,0.0030448882114947843,7.321318834586108e-05,3.743942606814096e-05,0.0055597642852247475,0.00015612920193490299,0.04364345103776919,0.0013205189255129236,0.0005188865033509574,0.0008374084608588467,0.003577842966245809,0.03700490910431797,0.000576676091606762,0.0368679259714152,0.04197883889501219,0.046483800838122945,5.150404133322812e-05,0.04772118407789221,0.048563407134211034,0.04437009939069974,0.048378331220778004,0.0011438953477712402,0.013955978416828777,0.04065861888364941,0.00015771304311157326,0.0027136663456477235,0.04413759667528028,0.0030309075402563776,0.047715829679151125,0.048689792742205536,0.010976411791123939,0.03026426413673071,0.048282506800538506,0.008168934036871633,0.0010421010521706377,0.04745065436454389,0.0005436989640601386,1.674345424759747e-06,0.029688293307486645,0.01561299423873604,0.016202106268639056,0.00014429794367031395,0.04660514015657429,0.03910613939487447,0.029585238334697447,0.0007752870974018168,0.02684069189982599,0.7024225982730042,0.5208176013096842
CID005799-1,0.06288830804498911,0.002625061984194367,0.011195296799311378,0.00023726493316379355,0.025488318810307727,1.2595489588172026e-05,0.022858344889930125,0.0730384538824568,0.0035503383273680815,0.036938249912396255,0.06896212792793233,0.0002795547374062713,0.007299073293837054,0.00011078043184028126,0.0004957050994431305,0.0730367802865924,0.07302871483529652,0.0035598489598642007,0.03728540513884507,0.028570934997400897,0.014367320918418684,0.02307138409784098,0.006746149406032662,0.0001237767781053688,0.00015847616362702586,5.8851425982350444e-05,0.05051789115719039,0.001645206837646242,0.05757239736695626,0.049986857099464245,0.012882458241875573,0.009094596126012898,0.0003417316636141551,0.003004580052748706,0.013919782644061764,0.0014410721357367923,0.027985881334608866,0.07162943147489173,0.009987092593872307,0.0010982392162527611,0.0001680530056877297,3.246500495889012e-05,0.0728811137399307,0.021299326651163852,0.009027505015508386,7.403570468278369e-05,0.009423165360963904,0.717790444761119,0.40332720919472975
CID005800-1,0.07045555730211377,0.0006682983321221712,0.00016320669500763526,0.0001752737954343305,7.323473998254118e-05,0.06596306786217081,0.0662521277978693,4.8830895847980736e-05,0.01132870005483569,0.026922076285161824,0.004081319520319287,0.012613247594206902,0.002240852646035848,0.04437585601272506,0.0027866792089294994,0.00032853944766465814,9.267636975243855e-05,0.06703298584619202,0.003924965735621158,0.027906625540557013,0.004699410091936521,0.0003626118351115429,0.03388490793254911,0.014151547607370217,0.0003411921940132317,0.012813633806630207,0.017910337084947214,0.00427013210727479,0.006328478451658671,0.00013485089505365708,0.0018056575381011947,0.0005617499624467959,0.022021546542686916,0.04545207995078268,0.06102427824630253,0.0026605669661389914,0.0003813482339755968,0.0002421362892091861,0.034335856382066536,0.00022283365625607357,0.02412143545596263,0.006405752343447983,0.02774479448159481,0.06383002815450478,0.07018632418521493,0.06690535068784505,0.0697670372343682,0.7366780198771673,0.4975199869235871
CID005801-1,0.018996871528659167,0.004264439696869324,0.0032401211496352104,0.0034963700070021688,0.0034202788831057154,0.00012632959890660368,0.055678599652812,0.01889325598328487,0.0013024925339400078,0.0002295064181482896,0.05296662127820048,0.001033816148822777,0.05839994870158825,0.012809390682967846,0.0016446306216865024,0.05995625973649009,0.0005603074496110087,0.06414278568127126,0.01187378434469421,0.021808626605868447,0.0023340445878732596,0.0018590598541635083,0.0007193881044660287,0.03833234622336272,0.0020958104922374028,0.0004664346992582616,0.06486138789551531,0.06535036761720088,0.04796881201920668,0.06475773960941329,0.001988245643754646,0.022169000154547563,3.0024497519890384e-06,0.0164117980509011,7.4185973468209705e-06,6.218280017892579e-05,0.0014181567706772445,0.001359202934786322,0.010147489499115656,0.0024826437747504653,0.06482662127177627,0.0005411253929147618,0.06247797278803547,0.048634388602895505,0.032737689405408256,0.00035715305476287726,0.050786081002134636,0.7813396914331808,0.46775284997182676
CID006004-1,0.04582056018445048,9.521147309126093e-05,0.00022426488218680462,0.0007374432811234291,0.047562447914941464,2.753765893890428e-06,0.02254463751522399,0.05652028561260305,0.04020843689634246,0.05608479124210252,0.051910682300824136,0.019464350565303615,0.0004473678537684793,0.0007075711677494804,0.0006611308448368217,0.05659007118578768,0.04041948535309621,0.03024087378618284,0.043297394601549646,0.010479744145915909,0.05501455976482557,0.004672269539177358,0.0003600877231730065,0.001319590572940057,0.00022477557780458424,0.000973527670898885,0.04607955654433772,0.00043308169913158247,0.0529320299504309,0.056362370506072075,0.03145592626541407,0.013255237222361724,0.0003666656060383448,4.357351823538539e-05,0.011407926827674992,0.00016722631571191972,0.03110864295860062,0.050427008554487576,0.024167247746395514,0.002114769387377882,1.4118293609946012e-05,0.00019965050018750229,0.05515615146928471,0.0021161980761534613,0.028498212219068553,4.412102095863074e-05,0.007065969896673366,0.7176539413485337,0.34428746856547465
CID007374-1,0.028210281608478948,0.0004228897650962281,0.0005359621439361243,5.554164058846989e-05,0.020747469405217406,0.00048682340810675135,0.04957775999198973,0.014240479902961017,0.026622436492125753,0.00047237153284849175,0.04993585973768057,0.0022199051614578526,0.051895596397033165,0.0007983836151111513,0.003199228494845796,0.05194598948245993,0.05024140968477373,0.05200309164792284,0.03776818110667342,0.04651752814125083,0.050251319961764136,0.04355371231392333,0.014616794070433694,0.023967253972514976,0.006175699584764605,0.00028242678483831376,0.028246660595867317,0.0442228627463215,0.051872838405234795,0.05213740849268207,0.00034154260012771935,0.004078099865112043,0.00023982524754951378,0.005932801661767371,0.01619057587858709,5.1812956750808005e-05,0.02548085987824081,2.443496138998411e-06,0.02715427736686418,0.0009156720653938347,0.0002541524693325314,4.730958770405214e-05,0.05008404268581201,0.04961092923846712,0.0058006920904810945,0.0003097433023204031,0.01028105332044807,0.7171701266797811,0.45704005280171045
CID007376-1,0.03190358158828367,4.1530216292057585e-05,6.236305593819854e-07,0.00014265777189536723,0.0049521369344260584,0.001111538751505889,0.04119269698380692,0.00542121798629511,0.02481661923204514,0.030470739968039305,0.04754308066508045,0.03762872340249531,0.01801374937787334,0.011768184786426725,0.006852513240143877,0.04803367854845616,0.0007386534684654063,0.04878418911886191,0.04878795873923642,0.016699998879745444,0.04692405817657836,0.002520898816756588,0.009085296642446377,0.004515614671273553,0.004860034549469019,0.00012197421617406963,0.04937418372874078,0.0001880396538338979,0.048736160360997365,0.0495143818132333,0.047426166133847064,0.045479265937830284,0.003651385525322698,0.0030892965188988727,3.840275481839005e-05,0.00046693093442964385,0.01333983471219508,0.03387644280953551,0.018165101435933896,0.0007146846901760162,0.049273305952100714,0.0007156099704618535,0.0487581864102095,0.04029028967827374,0.04235248402301165,0.0005558801203222743,0.011062016473195648,0.7023505587639691,0.45830120501286475
CID007378-1,0.002809837441263845,4.115919191373238e-05,2.928799282467328e-06,0.0018806795419832934,0.00325821372866681,0.00018318450752509508,0.029176280158094484,0.001031360503869023,0.04907460299089078,0.0003937534658685044,0.00017632505314894734,0.0012822941413943377,0.0019000837886874093,0.005672452642682735,0.000568845486934633,0.07248932372517683,0.017179260927773204,0.08321455581916341,0.06650176181497214,0.016941079853223334,0.0026134518527573414,0.0005554436394264179,5.906640046948093e-05,0.07674324333603914,0.0010259884155177932,0.002024408120384001,0.0362860722503005,7.332000924795044e-05,0.06953047798025531,0.08541202702867233,0.01991949208862844,0.00027443000798780984,0.001349718622533986,0.02415338152460148,0.006308426393675429,0.00019077388827821914,4.6884819499425046e-05,0.0052373607405386624,0.015417725476162792,0.003690470406006225,0.08518859086330624,0.003852777363727967,0.05577587584066892,0.05595563925756276,0.08200116932413168,5.9915016167941746e-05,0.012475885750936735,0.749136592051165,0.3979893842969553
CID007380-1,0.005492085963435541,0.0009447209118449272,0.0002484097021907743,0.005988048976487705,0.001266067383340482,0.0003695140001403787,0.04980020072304843,0.019778170945424483,0.025088008162589232,7.3323606983545526e-06,0.044508450896914166,0.051099766601049375,0.0001338509303212666,0.009423331619211049,0.0003147773912587803,0.04862828167530975,0.008515650905213959,0.04649383577623302,0.05092376455478126,0.03770328961684893,0.0423259135551828,0.0011167294871574714,0.0017203395695167291,0.03414068300430798,2.044641084632396e-05,0.00014399815274607797,0.04772527362432367,0.03023952961411332,0.05093580267641798,0.05133373627181418,0.034301311791530356,0.03758303150619016,0.04447804496021414,0.003374872799460195,6.903404115983725e-05,6.109449721421843e-05,0.004219497129808701,0.001003802310787761,0.021044747246311522,0.0009219126251750354,0.0512054448087609,0.0012604252570779593,0.05096589798433881,0.04834534434037293,0.02450887441450429,6.503586224459392e-05,0.010161616962080157,0.7405970149253731,0.48413431418488595
CID007382-1,0.04013391104224782,0.00040327600892694967,0.00036991509226412886,0.00015403298381323698,0.001992142364061918,5.7252128166541345e-05,0.0293692231099354,0.0612411471010453,0.012564268584211497,0.00036948599651535967,0.0405773465468056,0.03740440159796502,0.0068942173587237384,0.0003210985373532182,0.01644352435884178,0.06089393511598171,0.05727638179728793,0.051775988094498744,0.03458947023489928,0.019602436298201104,0.05025165887120962,0.02284375721275768,0.012308421702152388,0.0006726458860261359,0.00012169910023934009,7.768746602114571e-05,0.03977106443686857,0.00010485767389093752,0.06113477184448138,0.059668896472987114,0.00890537991737764,0.010366288432256593,0.0001939375209943929,0.006656452300877897,0.015616536858787852,0.00025708385752869195,0.010531723611354713,0.016930206892636773,0.026438048806527215,0.0017149926947394552,0.00011510399350613699,0.002902557711325221,0.06068261466757142,0.05449337029043872,0.05927853122051131,0.00012595380126574407,0.005402302403919921,0.7238380113285205,0.41936675697517556
CID007384-1,0.05545481185150032,1.8434807345336413e-06,0.00046453534285577857,0.004598278999932592,0.0016139893883327164,0.004919585041033699,0.03715208851510273,0.013150985130587546,0.019267662617327454,0.0009974043497077056,0.021479706117450897,0.05170934058311682,0.002987842660813952,0.009385199707607348,0.0007061867727790011,0.055815824035639686,0.011988582607854466,0.04759041709185421,0.0592607979704179,0.042922914278039646,0.04210044158097097,0.005814464120786926,0.003957444145204848,2.0966807910982735e-05,0.00045712981340900597,0.0017974500431842113,0.05769345069818342,2.707577234993497e-05,0.05983622958240014,0.0580092842110677,0.013538518431487344,0.020561104338800932,0.0005447391482759552,0.00374871973286774,0.003431431252832131,9.97570983330883e-05,0.018213167593037573,0.0011159027985121997,0.016494800409386206,0.001109196428375553,0.05974305116459607,0.002592768469579788,0.058839961910779275,0.058746319539326186,0.045926382008816664,0.015547586459977442,0.008564659896858817,0.707374752550632,0.4642954380359272
CID007386-1,0.03886793246953215,0.00021855829601173058,2.0613913891257044e-05,0.0008063963220687348,0.0007893754209860127,0.0004503384411062254,0.04621111023496572,0.0027227720566116538,0.008832186093863364,0.0016854359183926092,0.019830067159210363,0.04067160113431563,5.250309151450038e-05,0.031022341425197275,7.482671857169447e-05,0.05955246842507052,0.0021048057334391267,0.05962560881423484,0.022435853003303557,0.0454887683222528,0.04344235390574161,0.0004560205872921181,0.004060952319956603,0.043742572408740715,3.361484026780652e-05,0.00021346941595567207,0.052065322869078015,0.00016152160974996542,0.060041212829979936,0.059693922628926754,0.05914074263217309,0.003654269516695477,0.057425177647636494,0.01932327777275508,1.0624806263045501e-07,0.00023097062995815543,0.010010321826994443,0.004619428504381986,0.011826565500452583,0.00035038624346774754,0.05995685948268173,0.0002189715108297917,0.04084677479465606,0.016487383035348375,0.059976014407796,0.00013364225576849515,0.01042458158011301,0.7114452490025123,0.41683677313456546
