,B Cell,Epithelium,Myeloid,Stroma,T Cell,rho_Spearman,rho_Pearson
CID005093-1,0.36665905636213864,0.0390287560948512,0.03183429289093701,0.27766814670820794,0.2848097479438651,0.9114718328182702,0.6370522022599397
CID005215-1,0.07016893944553636,0.00042556210309990377,0.10507613211498093,0.0011654117775287808,0.823163954558854,0.8400406045567336,0.6173145753105701
CID005217-1,0.23402940280670667,0.1268728093061335,0.014211084176645659,0.2741319076132009,0.35075479609731325,0.8285760169447386,0.6376898300607365
CID005219-1,0.2975011372808125,0.005559175021636763,0.022556636961143253,0.553039381980854,0.1213436687555535,0.912169459073052,0.6534398535380274
CID005222-1,0.2752679101940521,0.03510921494641295,0.09246212328663557,0.32224382824587755,0.2749169233270218,0.8965968279609633,0.649353148822771
CID005224-1,0.1698620985886345,0.5047704802475431,0.07566255065705094,0.09378418002748794,0.1559206904792835,0.6925283921099821,0.6324006288338351
CID005225-1,0.07951025588659694,0.12526306929632236,0.0790536847502618,0.2941525344477955,0.42202045561902335,0.7956981118807356,0.6706127781549689
CID005416-1,0.17668256402233207,0.021221740184918784,0.05282755586137945,0.44492879467624574,0.30433934525512396,0.8555731420477435,0.6828319196011032
CID005418-1,0.0004860833580014959,0.9242607789901222,0.0067976651737535,0.03271685974993753,0.035738612728185314,0.7996840746662557,0.6528824333492664
CID005420-1,0.005094959500917649,0.0005596034229392026,0.033538295232924634,0.9409431520963129,0.019863989746905633,0.8832094905336385,0.6154285324445006
CID005422-1,0.20316223859967608,0.1894218724412538,0.041356005257359496,0.3310048936774852,0.23505499002422545,0.7405594036777892,0.6626958393907549
CID005424-1,0.2898535531442412,0.26558188491298523,0.07751455703534554,0.13776267025909475,0.22928733464833323,0.6932983856849435,0.6892966264696231
CID005425-1,0.3922456605426621,0.13367796548521482,0.15467208443959723,0.2243673028527818,0.09503698667974413,0.6833849619166028,0.5587659672130165
CID005614-1,0.3380144498279476,0.10185852807119573,0.055666618371727324,0.2529257195306509,0.25153468419847846,0.8238519765968159,0.6693393069137903
CID005616-1,0.3651296111123929,0.12684559255237782,0.04190634565788146,0.22707232444850206,0.23904612622884575,0.7091961006672567,0.5984394710118948
CID005618-1,0.3353824586515761,0.01546736179639752,0.07684841901958443,0.23556883158400224,0.33673292894843965,0.9108994052048003,0.6114410585470321
CID005620-1,0.4168218663146383,0.03364876737409418,0.05620105346083289,0.18209725232158844,0.3112310605288462,0.8863181674343377,0.6104044305671876
CID005844-1,0.3300243030237492,0.04390532707312776,0.0555956395611313,0.5045209216801017,0.06595380866189013,0.8723940562382684,0.6641853312276774
CID005845-1,0.37399281367081044,0.11221483394623728,0.030604254385619093,0.013418558980346036,0.46976953901698715,0.8194035464055383,0.5720859620042582
CID005860-1,0.3795212789704758,0.045781676925931186,0.03570112284420437,0.35402194688951083,0.1849739743698778,0.861991173445961,0.6710883936548171
CID005868-1,0.2730090244801386,0.1909896593083608,0.013085905710583517,0.5012412643430957,0.0216741461578214,0.7560855811235833,0.5502969032050891
CID005874-1,0.21320781183296578,0.1365242711477568,0.08495933874057351,0.21310322223344705,0.35220535604525693,0.7950988032520354,0.6899303101733819
CID005875-1,0.46115134491344184,0.06266586775280364,0.03771042409180237,0.14226321820276103,0.2962091450391911,0.879418151456335,0.674260912741267
CID006320-1,0.08631398153227866,0.06023614832501383,0.061669672851906956,0.34652563878367076,0.4452545585071298,0.8722356354290386,0.6170949709161888
CID006322-1,0.23226166907171367,0.17427521778652708,0.05584243715066524,0.32697329146403853,0.2106473845270556,0.7958642789648829,0.6551870985739614
CID006328-1,0.12091947535153541,0.08054681478520542,0.027313020479977638,0.6612906223722865,0.10993006701099495,0.8614108574440345,0.6321633268136412
CID006331-1,0.3293972540297468,0.02453996419242532,0.16000746518001707,0.06426972350192621,0.4217855930958846,0.8737710380842391,0.6511168069266606
CID006336-1,0.31670932195141155,0.10806860611832485,0.036096763880801505,0.27013400573122137,0.2689913023182407,0.8514765881352107,0.6670990587393734
CID006340-1,0.42468454994928095,0.028309000062365666,0.07406646466162832,0.1589058663395036,0.3140341189872215,0.8989113149629324,0.6197568551370767
CID006468-1,0.542260609157093,0.09872309222732602,0.006820877070857684,0.07627461281245497,0.2759208087322684,0.749377749673739,0.5956174022824119
CID006469-1,0.2147533195221758,0.16994394764949353,0.00553441856667135,0.07331489232894634,0.536453421932713,0.7355904814508804,0.6348093967102626
CID006478-1,0.3605796104024154,0.05552038565784459,0.022939913557884935,0.3165124082372599,0.24444768214459522,0.8648611128639399,0.6255337034598507
CID006480-1,0.1665221786461404,0.05907223216506441,0.04634090702619495,0.24483325224766175,0.48323142991493845,0.8395938295700891,0.6548188606077234
CID006484-1,0.3648436789770567,0.06995329238877683,0.024228943444856314,0.2696636855870988,0.2713103996022114,0.8218313961552332,0.6533729931674317
CID006486-1,0.17377045298456023,0.046800055739089096,0.06134648805139575,0.1595620189955479,0.558520984229407,0.784532013642277,0.6200174849569243
CID006493-1,0.2098053256768427,0.07443874612241783,0.05118768740816523,0.2532779667151427,0.4112902740774315,0.894639780598432,0.6425123730617628
CID006494-1,0.32561331933762305,0.06724379476491968,0.04340607882234767,0.28036333719081213,0.2833734698842974,0.855537490670226,0.6606684395423865
CID006494-2,0.2700149111116082,0.14816042307464683,0.062123475991020805,0.373624281772788,0.14607690804993628,0.7656565512704738,0.6166882638008312
CID006515-1,0.20312671522791761,0.06839331073784999,0.04014809064306266,0.2504570727710081,0.43787481062016154,0.7942255764654254,0.5840260522621638
CID006527-1,0.028201385716248733,0.05144146865735523,0.02931287261348017,0.719100876486895,0.17194339652602086,0.922361651914711,0.6698302478745064
CID006542-1,0.3388297958571052,0.06814235106546679,0.01839387952518265,0.1743657389669053,0.40026823458534005,0.8336748594999298,0.631228957609993
CID006544-1,0.1551635807742319,0.11678151908116663,0.052680755738776855,0.4307641574870097,0.24460998691881491,0.8092143100535644,0.6248596742722712
CID006548-1,0.49739697100059993,0.01838359094790038,0.025096329350939094,0.24354605423300285,0.21557705446755787,0.8868241115629557,0.61408802944572
CID006551-1,0.028751211058645646,0.057251914971329386,0.025285951067615654,0.522631736352407,0.36607918655000227,0.8489565128944863,0.5954576566585505
CID007329-1,0.20634410043980886,0.019143410770837248,0.012588597338286088,0.6536889385584191,0.10823495289264864,0.8548399949909495,0.6432042915500811
CID007330-1,1.3615242956801164e-05,0.057646281196598904,0.09961057791491477,0.2012211985437785,0.641508327101751,0.842135916105918,0.6569441032030963
CID007338-1,0.21917493828851292,0.10066616780078667,0.08108458031479836,0.250192317427562,0.34888199616834004,0.8602901092032847,0.6515966914549012
CID007346-1,0.10690379391038618,0.20180457237051797,0.04581938534834308,0.24593791953055152,0.39953432884020124,0.7083005791012302,0.6460876911792779
CID007352-1,0.5302464082821357,0.06870223914761622,0.030006202700119423,0.2776068326132943,0.0934383172568344,0.8512519001036213,0.6335090092492716
CID007358-1,0.4317950735522332,0.03742905541739175,0.04984535408234274,0.24425542245245066,0.2366750944955817,0.8628642283670526,0.6566860839431045
CID007659-1,0.37186847673104056,0.10034798806337444,0.04570810623190099,0.07914466282043885,0.402930766153245,0.7795697206790616,0.6567627002742433
CID007661-1,0.162460177324839,0.10174775555214817,0.061268381686075186,0.25007477260611843,0.42444891283081926,0.7955776982685453,0.6333582153466542
CID007664-1,0.14793427077237184,0.13780889660048587,0.07385897156699357,0.40881448379195623,0.2315833772681925,0.7607322999111196,0.6588877317882335
CID007665-1,0.29602728373243503,0.06758212375957741,0.03373568615829439,0.38761589761313353,0.2150390087365596,0.8559132728397086,0.6503738437883495
CID007666-1,0.4410975247666258,0.056918995504072464,0.026159721931507944,0.23811857637704692,0.23770518142074698,0.8199650152948208,0.6280513609514559
CID007667-1,0.3903501669127095,0.07110888445261326,0.042089611493310544,0.08511638767262986,0.4113349494687368,0.8339587304653338,0.6839906523044774
CID007672-1,0.4275777187156283,0.029973220595663173,0.04924797731794171,0.4382208220381609,0.05498026133260597,0.8222899843426897,0.6067684217704368
CID007676-1,0.3472249961661567,0.14055248442595944,0.013248678624370683,0.27113333167355275,0.2278405091099605,0.8332723052881726,0.6469596168382704
CID007681-1,0.4077191221130745,0.19507752878822243,0.019961115367605003,0.12274402890007984,0.25449820483101826,0.7753724232132343,0.67038984250916
CID007688-1,0.02146635294553834,0.6066633981774536,0.001293239902225482,0.3062584277039704,0.06431858127081216,0.7558289719751907,0.6507450992385692
CID007694-1,0.1935536160625273,0.15727357842442,0.017835915205452694,0.285003619102411,0.3463332712051891,0.7745392961970539,0.619241102315094
CID007697-1,0.22941913963106264,0.06291202447295817,0.05549595441952087,0.34938956337570465,0.30278331810075354,0.827849183011544,0.6638761092402305
CID007704-1,0.18331912172262277,0.07446682265907831,0.04028350272460242,0.3074184744225609,0.39451207847113556,0.8701168147252506,0.6498656882145006
CID007707-1,0.39715985191627595,0.2332226545228726,0.016297075517892903,0.23602266602080801,0.1172977520221506,0.732834949040762,0.6283450124871666
CID007825-1,0.44776879683768833,0.06043540581634109,0.026727100197642947,0.02931596222460864,0.43575273492371897,0.8164645033817743,0.6840650431536106
CID007827-1,0.4221228512330628,0.06503849616228682,0.0302542425209832,0.055013934191060765,0.4275704758926064,0.8304489785616027,0.670731029470418
CID007829-1,0.3090602613011127,0.008331758548740976,0.026286881815863285,0.089973133218991,0.5663479651152921,0.8977813041531182,0.6379345535317988
CID007845-1,0.06879866757971352,0.09393897559342623,0.09137433158815286,0.4304573343717821,0.3154306908669253,0.8468839000035161,0.6409022817308647
CID007847-1,0.41590539790930514,0.07729933449692601,0.06412725117513428,0.14212877267837942,0.30053924374025526,0.8272722478112583,0.6722927365839478
CID007849-1,0.5192263247507817,0.10858028906199325,0.024693460531817958,0.18365373925939704,0.1638461863960101,0.8218301695275836,0.6196839079927356
CID008109-1,0.45791760764256134,0.07943205019965002,0.056561642824245466,0.04027599557317353,0.36581270376036973,0.8011667663317615,0.6472485725743198
CID008114-1,0.38572918134069045,0.047177655542913,0.08763669891315487,0.11394094281871298,0.36551552138452875,0.8449110703809535,0.675241222534908
CID008122-1,0.27044504363532845,0.1901854746841149,1.6555152778729826e-05,0.34362495556293027,0.19572797096484756,0.7549977532424097,0.6475053008372141
CID008457-1,0.06508776115412214,0.029683908423322417,0.05468603871769841,0.6119532157805881,0.23858907592426887,0.8956039890256259,0.6874898047288538
CID008459-1,0.1867519062127761,0.12991087145569338,0.03451507225690314,0.4687269914542605,0.18009515862036687,0.8184443233360289,0.6215153324189834
CID008460-1,0.1372638649565301,0.051810469249100065,0.019162566606790655,0.6907760688155418,0.10098703037203738,0.8375627617964437,0.6203466571395294
